config,frame,threads,conc,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,client_core,server_core,dpu_arm_cores,window_s
grpc-tcp,1024,8,4,1,75844.0,354.00,1602.00,3120.00,421.79,0,4.7924,4.5963,NA,6.0254
grpc-tcp,1024,8,8,1,93592.0,590.00,2399.00,4125.00,683.70,0,5.0201,4.8850,NA,6.0271
grpc-tcp,1024,8,16,1,110683.0,1048.00,3221.00,4819.00,1156.39,0,5.0562,5.0965,NA,6.0110
grpc-tcp,1024,8,32,1,118651.0,1994.00,5107.00,7392.00,2157.42,0,4.6767,5.0845,NA,6.0142
grpc-tcp,8192,8,1,1,39983.0,178.00,494.00,664.00,199.97,0,3.5424,3.1261,NA,6.0461
grpc-tcp,8192,8,2,1,55527.0,248.00,847.00,1593.00,288.03,0,4.4395,4.1595,NA,6.0278
grpc-tcp,8192,8,4,1,69268.0,388.00,1759.00,3347.00,461.86,0,4.8009,4.6123,NA,6.0522
grpc-tcp,8192,8,8,1,85024.0,648.00,2703.00,4703.00,752.63,0,5.0774,4.8704,NA,6.0178
grpc-tcp,8192,8,16,1,101867.0,1137.00,3490.00,5305.00,1256.33,0,5.1058,5.1371,NA,6.0448
grpc-tcp,8192,8,32,1,108600.0,2210.00,5243.00,7340.00,2357.32,0,4.8260,5.1569,NA,6.0157
grpc-dpumesh,64,8,1,1,29851.0,232.00,651.00,908.00,267.87,0,1.8113,1.6480,2.2752,6.0495
grpc-dpumesh,64,8,2,1,73015.0,214.00,335.00,476.00,219.00,0,3.1957,3.6920,3.7527,6.0762
grpc-dpumesh,64,8,4,1,107129.0,287.00,514.00,915.00,298.59,0,3.9520,4.9212,4.1719,6.0249
grpc-dpumesh,64,8,8,1,118927.0,475.00,1844.00,3215.00,538.03,0,3.9229,5.1149,3.7615,6.0134
grpc-dpumesh,64,8,16,1,126052.0,918.00,2913.00,4706.00,1015.37,0,3.8067,5.1469,3.2690,6.0295
grpc-dpumesh,64,8,32,1,130309.0,1832.00,4695.00,8041.00,1964.42,0,3.6665,5.0639,2.7532,6.0396
grpc-dpumesh,1024,8,1,1,29809.0,233.00,646.00,866.00,268.23,0,1.8216,1.6219,2.2889,6.0848
grpc-dpumesh,1024,8,2,1,72194.0,217.00,347.00,479.00,221.49,0,3.2449,3.7072,3.5921,6.0455
grpc-dpumesh,1024,8,4,1,103106.0,295.00,544.00,1569.00,310.24,0,3.9300,4.8654,4.1452,6.0159
grpc-dpumesh,1024,8,8,1,117746.0,485.00,1714.00,3288.00,543.43,0,3.9742,5.1373,3.6770,6.0252
grpc-dpumesh,1024,8,16,1,124263.0,961.00,2304.00,4283.00,1029.95,0,3.8805,5.2700,3.2930,6.0273
grpc-dpumesh,1024,8,32,1,129588.0,1836.00,4878.00,7544.00,1975.34,0,3.7318,5.1060,2.8048,6.0377
grpc-dpumesh,8192,8,1,1,32052.0,236.00,477.00,667.00,249.46,0,2.0586,2.0876,3.3045,6.0207
grpc-dpumesh,8192,8,2,1,63681.0,245.00,382.00,536.00,251.14,0,3.1277,3.8187,3.1745,6.0440
grpc-dpumesh,8192,8,4,1,94905.0,322.00,577.00,1655.00,337.07,0,4.0294,4.9587,4.3828,6.0356
grpc-dpumesh,8192,8,8,1,107702.0,535.00,1809.00,3298.00,594.13,0,4.0797,5.1955,4.1039,6.0386
grpc-dpumesh,8192,8,16,1,116074.0,1021.00,2618.00,4093.00,1102.64,0,4.0595,5.2687,3.7101,6.0613
grpc-dpumesh,8192,8,32,1,121267.0,1984.00,4640.00,7126.00,2110.89,0,3.9519,5.1978,3.2727,6.0568
