config,frame,kind,offered,achieved,client,server,client_cgroup,server_cgroup,p99,drop,clean
grpc-envoy-permissive,8192,bound,33412,33429.0,0.981996,0.903493,0.992126,0.912832,9431.0,0.0,1
grpc-envoy-permissive,8192,bound,35171,35146.0,0.981643,0.909197,0.99188,0.9191739999999999,20047.0,0.0,1
grpc-envoy-permissive,8192,bound,36930,31645.0,0.982115,0.863342,0.991962,0.872429,1588390.11,0.0,0
grpc-envoy-permissive,8192,bound,40447,31483.0,0.983496,0.86182,0.991826,0.869617,2295048.51,0.0,0
grpc-envoy-permissive,8192,common,5606,5606.0,0.431874,0.388513,0.436211,0.39241,232.0,0.0,1
grpc-envoy-permissive,8192,common,11211,11211.0,0.855589,0.765609,0.864456,0.773596,293.0,0.0,1
grpc-envoy-permissive,8192,common,16817,16817.0,0.98238,0.923877,0.9921880000000001,0.9333290000000001,1747.0,0.0,1
grpc-envoy-permissive,8192,common,20180,20179.0,0.982399,0.946918,0.992297,0.9565250000000001,2047.0,0.0,1
grpc-envoy-strict,64,bound,7122,7122.0,0.513181,0.458902,0.518477,0.46357499999999996,413.0,0.0,1
grpc-envoy-strict,64,bound,23741,23740.0,0.981757,0.943317,0.992076,0.953356,1643.0,0.0,1
grpc-envoy-strict,64,bound,45107,45100.0,0.982339,0.913195,0.992316,0.9225030000000001,8383.0,0.0,1
grpc-envoy-strict,64,bound,47481,47465.0,0.982158,0.902382,0.992484,0.911794,18339.0,0.0,1
grpc-envoy-strict,64,bound,49855,49829.0,0.982024,0.926952,0.9921030000000001,0.9361900000000001,25032.0,0.0,1
grpc-envoy-strict,64,bound,54603,49563.0,0.981585,0.934996,0.991868,0.945635,957410.0,0.0,0
grpc-envoy-strict,64,common,7568,7568.0,0.539851,0.493666,0.54545,0.498717,546.0,0.0,1
grpc-envoy-strict,64,common,15135,15135.0,0.981871,0.937118,0.9919230000000001,0.946848,858.0,0.0,1
grpc-envoy-strict,64,common,22703,22702.0,0.981914,0.944858,0.992022,0.954596,1586.0,0.0,1
grpc-envoy-strict,64,common,27243,27243.0,0.982639,0.914963,0.9921869999999999,0.924104,1982.0,0.0,1
grpc-envoy-strict,1024,bound,6130,6130.0,0.445989,0.431357,0.450597,0.43579100000000004,636.0,0.0,1
grpc-envoy-strict,1024,bound,20433,20432.0,0.981781,0.951761,0.992131,0.961805,1734.0,0.0,1
grpc-envoy-strict,1024,bound,38822,38826.0,0.982141,0.924749,0.992164,0.934362,4988.0,0.0,1
grpc-envoy-strict,1024,bound,40865,40875.0,0.981965,0.927053,0.992086,0.9367620000000001,6184.0,0.0,1
grpc-envoy-strict,1024,bound,42908,42925.0,0.981771,0.905866,0.992089,0.915208,10564.0,0.0,1
grpc-envoy-strict,1024,bound,46995,43581.0,0.981683,0.882937,0.9916510000000001,0.891492,753356.0,0.0,0
grpc-envoy-strict,1024,common,6513,6513.0,0.476489,0.439001,0.48147799999999996,0.44356300000000004,549.0,0.0,1
grpc-envoy-strict,1024,common,13026,13026.0,0.933928,0.840698,0.9436150000000001,0.8494630000000001,376.0,0.0,1
grpc-envoy-strict,1024,common,19539,19539.0,0.98212,0.942856,0.992137,0.952404,1699.0,0.0,1
grpc-envoy-strict,1024,common,23447,23448.0,0.981822,0.979094,0.9919789999999999,0.989256,2024.0,0.0,1
grpc-envoy-strict,8192,bound,3908,3908.0,0.330265,0.321036,0.33369099999999996,0.324357,240.0,0.0,1
grpc-envoy-strict,8192,bound,13026,13025.0,0.982079,0.948878,0.992048,0.958524,1577.0,0.0,1
grpc-envoy-strict,8192,bound,24749,24747.0,0.98153,0.960168,0.9917229999999999,0.970059,6441.0,0.0,1
grpc-envoy-strict,8192,bound,26052,26055.0,0.982057,0.956039,0.992243,0.965977,7308.0,0.0,1
grpc-envoy-strict,8192,bound,27355,27354.0,0.981686,0.949159,0.992013,0.959328,18744.0,0.0,1
grpc-envoy-strict,8192,bound,29960,25958.0,0.982115,0.88993,0.991517,0.9004909999999999,1443104.14,0.0,0
grpc-envoy-strict,8192,common,5606,5606.0,0.493288,0.431011,0.49842800000000004,0.435439,251.0,0.0,1
grpc-envoy-strict,8192,common,11211,11211.0,0.946687,0.873847,0.9564250000000001,0.882797,448.0,0.0,1
grpc-envoy-strict,8192,common,16817,16817.0,0.982078,0.978138,0.992062,0.9880990000000001,2441.0,0.0,1
grpc-envoy-strict,8192,common,20180,20178.0,0.981939,0.976527,0.992143,0.986632,3153.0,0.0,1
grpc-tcp,64,bound,4541,4541.0,0.205622,0.191972,0.207022,0.193257,233.0,0.0,1
grpc-tcp,64,bound,15135,15135.0,0.680703,0.697001,0.685289,0.700917,8089.0,0.0,1
grpc-tcp,64,bound,28757,28760.0,0.955427,0.897983,0.96174,0.904037,4132.0,0.0,1
grpc-tcp,64,bound,30270,30288.0,0.966528,0.9292,0.973135,0.935788,11829.0,0.0,1
grpc-tcp,64,bound,31784,31825.0,0.974556,0.954595,0.981042,0.961238,20950.0,0.0,1
grpc-tcp,64,bound,34811,30458.0,0.988872,0.988822,0.995782,0.99527,1454605.14,0.0,0
grpc-tcp,64,common,7568,7567.0,0.331474,0.397046,0.33364,0.399791,567.0,0.0,1
grpc-tcp,64,common,22703,22702.0,0.900375,0.793297,0.906193,0.798125,1171.0,0.0,1
grpc-tcp,64,common,27243,27244.0,0.945301,0.870317,0.951647,0.876103,2314.0,0.0,1
grpc-tcp,1024,bound,4541,4541.0,0.207679,0.197255,0.209087,0.198541,255.0,0.0,1
grpc-tcp,1024,bound,15135,15135.0,0.704075,0.680099,0.708816,0.684695,303.0,0.0,1
grpc-tcp,1024,bound,28757,28805.0,0.985262,0.9648,0.991764,0.971683,31030.0,0.0,1
grpc-tcp,1024,bound,30270,30276.0,0.988854,0.989516,0.995698,0.994965,91640.0,0.0,1
grpc-tcp,1024,bound,31784,27588.0,0.988921,0.988087,0.995428,0.995371,1453136.0,0.0,0
grpc-tcp,1024,bound,34811,27906.0,0.989356,0.920816,0.995502,0.923942,3349828.21,0.0,0
grpc-tcp,1024,common,6513,6513.0,0.29174,0.303283,0.293691,0.305472,524.0,0.0,1
grpc-tcp,1024,common,13026,13025.0,0.59846,0.563962,0.60286,0.568274,67608.0,0.0,1
grpc-tcp,1024,common,19539,19539.0,0.877846,0.804327,0.883783,0.809475,156576.0,0.0,1
grpc-tcp,1024,common,23447,23447.0,0.941732,0.832943,0.948133,0.838596,1233.0,0.0,1
grpc-tcp,8192,bound,3908,3908.0,0.204234,0.179776,0.205594,0.180984,149.0,0.0,1
grpc-tcp,8192,bound,13026,13025.0,0.64824,0.761197,0.652956,0.76501,14889.0,0.0,1
grpc-tcp,8192,bound,24749,24760.0,0.988833,0.973679,0.995454,0.98028,49474.0,0.0,1
grpc-tcp,8192,bound,26052,25942.0,0.989191,0.988622,0.995278,0.994937,305249.0,0.0,1
grpc-tcp,8192,bound,27355,25066.0,0.988815,0.988433,0.995206,0.994211,924889.0,0.0,0
grpc-tcp,8192,bound,29960,28390.0,0.989524,0.986847,0.995363,0.990918,1270421.26,0.0,0
grpc-tcp,8192,common,5606,5606.0,0.288856,0.258798,0.290771,0.260489,148.0,0.0,1
grpc-tcp,8192,common,11211,11211.0,0.571418,0.53065,0.575297,0.534201,232.0,0.0,1
grpc-tcp,8192,common,16817,16816.0,0.878061,0.807326,0.883903,0.81252,9328.0,0.0,1
grpc-tcp,8192,common,20180,20183.0,0.985842,0.897778,0.992368,0.903736,4973.0,0.0,1
