config,frame,threads,conc,rep,achieved,p50_us,p99_us,p999_us,avg_us,fail,client_core,server_core,dpu_arm_cores,window_s
grpc-envoy-permissive,64,8,1,1,17844.0,444.00,551.00,665.00,448.24,0,0.9991,0.9914,NA,6.0261
grpc-envoy-permissive,64,8,2,1,25759.0,614.00,734.00,820.00,621.04,0,0.9996,0.9927,NA,6.0271
grpc-envoy-permissive,64,8,4,1,34649.0,911.00,1118.00,1220.00,923.43,0,0.9997,0.9783,NA,6.0263
grpc-envoy-permissive,64,8,8,1,41399.0,1523.00,2090.00,2180.00,1545.73,0,0.9896,0.9925,NA,6.0268
grpc-envoy-permissive,64,8,16,1,45089.0,2802.00,3948.00,5251.00,2839.14,0,0.9725,0.9959,NA,6.0259
grpc-envoy-permissive,64,8,32,1,46526.0,5484.00,7625.00,7980.00,5502.73,0,0.9387,0.9944,NA,6.0258
grpc-envoy-permissive,1024,8,1,1,17112.0,465.00,569.00,673.00,467.40,0,0.9993,0.9878,NA,6.0250
grpc-envoy-permissive,1024,8,2,1,23507.0,673.00,796.00,946.00,680.54,0,0.9994,0.9767,NA,6.0250
grpc-envoy-permissive,1024,8,4,1,32001.0,987.00,1194.00,1251.00,999.84,0,0.9997,0.9483,NA,6.0254
grpc-envoy-permissive,1024,8,8,1,39394.0,1594.00,2085.00,2257.00,1624.44,0,0.9973,0.9742,NA,6.0272
grpc-envoy-permissive,1024,8,16,1,43019.0,2947.00,4087.00,4250.00,2975.41,0,0.9565,0.9976,NA,6.0270
grpc-envoy-permissive,1024,8,32,1,45332.0,5629.00,7652.00,8119.00,5647.65,0,0.9519,0.9960,NA,6.0263
grpc-envoy-permissive,8192,8,1,1,14706.0,544.00,675.00,758.00,543.89,0,0.9997,0.9827,NA,6.0252
grpc-envoy-permissive,8192,8,2,1,20466.0,768.00,916.00,1042.00,781.66,0,0.9995,0.9663,NA,6.0275
grpc-envoy-permissive,8192,8,4,1,26246.0,1175.00,1454.00,1612.00,1219.09,0,0.9996,0.9543,NA,6.0264
grpc-envoy-permissive,8192,8,8,1,30971.0,2032.00,2669.00,2886.00,2066.21,0,0.9952,0.9861,NA,6.0267
grpc-envoy-permissive,8192,8,16,1,34673.0,3649.00,4728.00,5182.00,3691.59,0,0.9912,0.9909,NA,6.0269
grpc-envoy-permissive,8192,8,32,1,35655.0,7111.00,9693.00,10368.00,7180.84,0,0.9698,0.9978,NA,6.0262
grpc-envoy-strict,64,8,1,1,16877.0,468.00,599.00,855.00,473.93,0,0.9983,0.9934,NA,6.0263
grpc-envoy-strict,64,8,2,1,24945.0,632.00,756.00,885.00,641.34,0,0.9996,0.9936,NA,6.0268
grpc-envoy-strict,64,8,4,1,34251.0,920.00,1127.00,1279.00,934.17,0,0.9995,0.9838,NA,6.0257
