run_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,admission_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,admission_drop_ratio,client_busy_cores,server_busy_cores,host_busy_cores,host_core_budget,dpu_arm_cores,tx_grow_waits,clean,reason,raw_result
scout-64-grpc-tcp-refine3-v1,refine,3,grpc-tcp,64,33876,10,33893.000,19216.00,54369.00,338675,0,0,0,0,0,1.000502,0.999749,0.000000,0.992771,0.989174,1.981945,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-refine3-v1.result.attempt1.txt
scout-64-grpc-tcp-refine3-v2,refine,3,grpc-tcp,64,33876,10,33861.000,16675.00,40748.00,338640,0,0,0,0,0,0.999557,0.999646,0.000000,0.992243,0.987813,1.980056,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-refine3-v2.result.attempt1.txt
scout-64-grpc-tcp-refine4-v1,refine,4,grpc-tcp,64,34517,10,31858.000,147903.00,781907.00,344315,0,0,0,0,0,0.922965,0.997523,0.000000,0.996520,0.996163,1.992683,2,NA,0,0,achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-refine4-v1.result.attempt1.txt
scout-64-grpc-tcp-refine4-v2,refine,4,grpc-tcp,64,34517,10,29468.000,554246.00,1614723.70,342003,0,0,0,80170,0,0.853724,0.990825,0.000000,0.996296,0.995943,1.992239,2,NA,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-refine4-v2.result.attempt1.txt
scout-64-grpc-dpumesh-pilot1-v1,pilot,1,grpc-dpumesh,64,5000,2,4997.000,241.00,351.00,10000,0,0,0,0,0,0.999400,1.000000,0.000000,0.180785,0.164037,0.344822,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot1-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot2-v1,pilot,2,grpc-dpumesh,64,6750,2,6747.000,241.00,297.00,13500,0,0,0,0,0,0.999556,1.000000,0.000000,0.238559,0.209050,0.447609,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot2-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot3-v1,pilot,3,grpc-dpumesh,64,9113,2,9111.000,226.00,367.00,18226,0,0,0,0,0,0.999781,1.000000,0.000000,0.294991,0.268181,0.563172,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot3-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot4-v1,pilot,4,grpc-dpumesh,64,12303,2,12300.000,242.00,263.00,24606,0,0,0,0,0,0.999756,1.000000,0.000000,0.386335,0.331581,0.717916,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot4-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot5-v1,pilot,5,grpc-dpumesh,64,16609,2,16606.000,212.00,535.00,33218,0,0,0,0,0,0.999819,1.000000,0.000000,0.531603,0.466903,0.998506,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot5-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot6-v1,pilot,6,grpc-dpumesh,64,22422,2,22419.000,248.00,16032.00,44844,0,0,0,0,0,0.999866,1.000000,0.000000,0.655002,0.666707,1.321709,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot6-v1.result.attempt1.txt
