arm,rep,req,conc,threads,mrps,p50,p99,fail,client_core,server_core,host_core,arm_core,host_us_per_req,arm_us_per_req
grpc-dpumesh,1,1024,32,4,0.008000,1459.00,2934.00,0,0.5612,1.1491,1.7103,3.9146,213.786,489.329
grpc-dpumesh,2,1024,32,4,0.008000,1628.00,2932.00,0,0.5082,1.0955,1.6037,3.9667,200.462,495.837
grpc-dpumesh,3,1024,32,4,0.008000,1463.00,2957.00,0,0.4758,1.0253,1.5011,3.9126,187.633,489.081
