arm,rep,req,conc,threads,mrps,p50,p99,fail,client_core,server_core,host_core,arm_core,host_us_per_req,arm_us_per_req
dpumesh,1,1024,32,1,0.046427,715.00,1284.00,0,0.0663,0.0688,0.1351,0.5339,2.910,11.501
preload,1,1024,32,1,0.089224,326.00,511.00,0,0.1407,0.1983,0.3390,1.0287,3.799,11.529
grpc-dpumesh,1,1024,32,1,0.002065,15488.00,16116.00,0,0.0745,0.0693,0.1438,1.0586,69.618,512.621
dpumesh,2,1024,32,1,0.048952,658.00,1210.00,0,0.0763,0.0684,0.1447,0.5128,2.955,10.477
preload,2,1024,32,1,0.086721,334.00,522.00,0,0.1380,0.1914,0.3294,1.0384,3.798,11.974
grpc-dpumesh,2,1024,32,1,0.002071,15461.00,16094.00,0,0.0850,0.0785,0.1635,1.0561,78.925,509.947
dpumesh,3,1024,32,1,0.049276,678.00,1261.00,0,0.0687,0.0706,0.1393,0.5631,2.827,11.427
preload,3,1024,32,1,0.091937,316.00,492.00,0,0.1376,0.1924,0.3300,1.0294,3.589,11.197
grpc-dpumesh,3,1024,32,1,0.002065,15496.00,16239.00,0,0.0790,0.0742,0.1532,1.0625,74.183,514.514
