arm,protocol,size,mode,rep,symbol,self_percent
batch,grpc,1024,capacity,1,mutex_lock,0.27
batch,grpc,1024,capacity,1,h2::codec::framed_write::Encoder<B>::buffer,0.27
batch,grpc,1024,capacity,1,tokio::runtime::time::Driver::park_internal,0.27
batch,grpc,1024,capacity,1,h2::proto::streams::store::Ptr::unlink,0.27
batch,grpc,1024,capacity,1,h2::proto::streams::counts::Counts::transition_after,0.26
batch,grpc,1024,capacity,1,invoke_syscall,0.26
batch,grpc,1024,capacity,1,tokio::runtime::io::driver::Driver::turn,0.26
batch,grpc,1024,capacity,1,"linkerd_http_prom::status::RecordStatusFuture<F,SL,L>::on_eos",0.26
batch,grpc,1024,capacity,1,"h2::codec::framed_write::FramedWrite<T,B>::flush",0.26
batch,grpc,1024,capacity,1,__check_object_size.part.0,0.25
batch,grpc,1024,capacity,1,tokio::sync::mpsc::list::Rx<T>::pop,0.25
batch,grpc,1024,capacity,1,h2::frame::headers::calculate_headermap_size,0.24
batch,grpc,1024,capacity,1,0x000000000001da14,0.24
batch,grpc,1024,capacity,1,<h2::server::Peer as h2::proto::peer::Peer>::convert_poll_message,0.23
batch,grpc,1024,capacity,1,<dmesh_doca::io::DmeshIo as tokio::io::async_read::AsyncRead>::poll_read,0.23
batch,grpc,1024,capacity,1,__aarch64_cas8_acq,0.23
batch,grpc,1024,capacity,1,ep_item_poll.isra.0,0.23
batch,grpc,1024,capacity,1,<linkerd_stack::box_future::BoxFuture<T> as tower_service::Service<R>>::call,0.22
batch,grpc,1024,capacity,1,_rjem_je_te_event_trigger,0.22
batch,grpc,1024,capacity,1,__ep_eventpoll_poll.isra.0,0.22
batch,grpc,1024,capacity,1,px_dma_done_cb,0.22
batch,grpc,1024,capacity,1,tokio::runtime::scheduler::current_thread::Context::run_task,0.22
batch,grpc,1024,capacity,1,<tokio_util::codec::length_delimited::LengthDelimitedCodec as tokio_util::codec::decoder::Decoder>::decode,0.22
batch,grpc,1024,capacity,1,<linkerd_app_outbound::http::logical::Concrete<T> as core::clone::Clone>::clone,0.22
batch,grpc,1024,capacity,1,"<futures_util::future::try_future::MapErr<Fut,F> as core::future::future::Future>::poll",0.22
batch,grpc,1024,capacity,1,h2::proto::streams::prioritize::Prioritize::reclaim_frame,0.21
batch,grpc,1024,capacity,1,http::header::map::HeaderMap<T>::get,0.21
batch,grpc,1024,capacity,1,h2::share::RecvStream::is_end_stream,0.21
batch,grpc,1024,capacity,1,linkerd_app_core::classify::grpc_code,0.21
batch,grpc,1024,capacity,1,tokio::runtime::task::waker::wake_by_val,0.21
batch,grpc,1024,capacity,1,<linkerd_app_core::errors::respond::NewRespond<R> as linkerd_error_respond::NewRespond<http::request::Request<B>>>::new_respond,0.21
batch,grpc,1024,capacity,1,<linkerd_proxy_http::normalize_uri::MarkAbsoluteForm<S> as tower_service::Service<http::request::Request<B>>>::call,0.2
batch,grpc,1024,capacity,1,h2::hpack::encoder::encode_str,0.2
batch,grpc,1024,capacity,1,fput_many,0.2
batch,grpc,1024,capacity,1,h2::proto::streams::streams::StreamRef<B>::send_response,0.2
batch,grpc,1024,capacity,1,__aarch64_ldadd4_relax,0.2
batch,grpc,1024,capacity,1,apparmor_file_permission,0.2
batch,grpc,1024,capacity,1,<linkerd_proxy_client_policy::Meta as core::cmp::PartialEq>::eq,0.2
batch,grpc,1024,capacity,1,<linkerd_stack_metrics::service::TrackService<S> as tower_service::Service<T>>::poll_ready,0.2
batch,grpc,1024,capacity,1,priv_doca_cq_empty,0.19
batch,grpc,1024,capacity,1,http::header::name::parse_hdr,0.19
batch,grpc,1024,capacity,1,ep_poll,0.19
batch,grpc,1024,capacity,1,<hyper::body::incoming::Incoming as http_body::Body>::poll_frame,0.19
batch,grpc,1024,capacity,1,"<futures_util::stream::try_stream::try_filter_map::TryFilterMap<St,Fut,F> as futures_core::stream::Stream>::poll_next",0.19
batch,grpc,1024,capacity,1,memcmp,0.19
batch,grpc,1024,capacity,1,_rjem_je_sdallocx_default,0.19
batch,grpc,1024,capacity,1,h2::proto::streams::recv::Recv::recv_data,0.19
batch,grpc,1024,capacity,1,"<linkerd_app_core::errors::respond::Respond<R> as linkerd_error_respond::Respond<http::response::Response<B>,alloc::boxed::Box<dyn core::error::Error+core::marker::Sync+core::marker::Send>>>::respond",0.19
batch,grpc,1024,capacity,1,core::ptr::drop_in_place<linkerd_app_outbound::http::logical::Concrete<linkerd_app_outbound::http::Http<linkerd_app_outbound::sidecar::HttpSidecar>>>,0.19
batch,grpc,1024,capacity,1,__arm64_sys_epoll_pwait,0.18
batch,grpc,1024,capacity,1,tokio::runtime::time::<impl tokio::runtime::time::handle::Handle>::process_at_time,0.18
batch,grpc,1024,capacity,1,0x000000000001da18,0.18
batch,grpc,1024,capacity,1,clock_gettime@@GLIBC_2.17,0.18
