arm,protocol,size,mode,rep,event,length,count
batch,grpc,65536,capacity,1,commit,16608,9
batch,grpc,65536,capacity,1,commit,16614,4
batch,grpc,65536,capacity,1,commit,16623,6
batch,grpc,65536,capacity,1,commit,16634,7
batch,grpc,65536,capacity,1,commit,16656,20
batch,grpc,65536,capacity,1,commit,16700,2
batch,grpc,65536,capacity,1,commit,16713,11
batch,grpc,65536,capacity,1,commit,16726,7
batch,grpc,65536,capacity,1,commit,16727,2
batch,grpc,65536,capacity,1,commit,16747,1
batch,grpc,65536,capacity,1,commit,16782,1
batch,grpc,8192,capacity,1,commit,13,27374
batch,grpc,8192,capacity,1,commit,17,136
batch,grpc,8192,capacity,1,commit,36,15
batch,grpc,8192,capacity,1,commit,37,37
batch,grpc,8192,capacity,1,commit,47,21516
batch,grpc,8192,capacity,1,commit,8215,21513
batch,grpc,8192,capacity,1,commit,8222,20989
batch,grpc,8192,capacity,1,commit,8235,117457
batch,grpc,8192,capacity,1,commit,8258,1
batch,grpc,8192,capacity,1,commit,8259,11
batch,grpc,8192,capacity,1,commit,8262,116940
batch,opaque,1024,capacity,1,commit,128,175
batch,opaque,1024,capacity,1,commit,1040,85701
batch,opaque,1024,capacity,1,commit,1168,113
batch,opaque,1024,capacity,1,commit,2080,113481
batch,opaque,1024,capacity,1,commit,3120,100196
batch,opaque,1024,capacity,1,commit,4160,76687
batch,opaque,1024,capacity,1,commit,5200,56670
batch,opaque,1024,capacity,1,commit,6240,43164
batch,opaque,1024,capacity,1,commit,7280,31332
batch,opaque,1024,capacity,1,commit,8192,288
batch,opaque,64,capacity,1,commit,80,129387
batch,opaque,64,capacity,1,commit,160,109606
batch,opaque,64,capacity,1,commit,240,79337
batch,opaque,64,capacity,1,commit,320,65021
batch,opaque,64,capacity,1,commit,400,49944
batch,opaque,64,capacity,1,commit,480,42882
batch,opaque,64,capacity,1,commit,560,33268
batch,opaque,64,capacity,1,commit,640,23034
lean,grpc,1024,capacity,1,commit,13,1527
lean,grpc,1024,capacity,1,commit,17,132
lean,grpc,1024,capacity,1,commit,30,2
lean,grpc,1024,capacity,1,commit,1047,63
lean,grpc,1024,capacity,1,commit,1054,29
lean,grpc,1024,capacity,1,commit,1067,31624
lean,grpc,1024,capacity,1,commit,1090,18
lean,grpc,1024,capacity,1,commit,1094,31519
lean,grpc,1024,capacity,1,commit,2134,20981
lean,grpc,1024,capacity,1,commit,2157,17
lean,grpc,1024,capacity,1,commit,2188,18487
lean,grpc,1024,capacity,1,commit,3201,17203
lean,grpc,1024,capacity,1,commit,3224,13
lean,grpc,1024,capacity,1,commit,3282,16172
lean,grpc,1024,capacity,1,commit,4268,12665
lean,grpc,1024,capacity,1,commit,4291,4
lean,grpc,1024,capacity,1,commit,4376,13063
lean,grpc,1024,capacity,1,commit,5335,8768
lean,grpc,1024,capacity,1,commit,5358,9
lean,grpc,1024,capacity,1,commit,5470,8961
lean,grpc,1024,capacity,1,commit,6402,4662
lean,grpc,1024,capacity,1,commit,6425,2
lean,grpc,1024,capacity,1,commit,6564,4692
lean,grpc,1024,capacity,1,commit,7469,1486
lean,grpc,1024,capacity,1,commit,7482,29
lean,grpc,1024,capacity,1,commit,7492,1
lean,grpc,1024,capacity,1,commit,7658,2248
lean,grpc,1024,capacity,1,commit,7705,63
lean,grpc,64,capacity,1,commit,13,107
lean,grpc,64,capacity,1,commit,17,131
lean,grpc,64,capacity,1,commit,105,31123
lean,grpc,64,capacity,1,commit,128,20
lean,grpc,64,capacity,1,commit,131,30980
lean,grpc,64,capacity,1,commit,210,21043
lean,grpc,64,capacity,1,commit,233,17
lean,grpc,64,capacity,1,commit,262,18188
lean,grpc,64,capacity,1,commit,315,17481
lean,grpc,64,capacity,1,commit,338,12
lean,grpc,64,capacity,1,commit,393,16457
lean,grpc,64,capacity,1,commit,420,12828
lean,grpc,64,capacity,1,commit,443,7
lean,grpc,64,capacity,1,commit,524,13201
lean,grpc,64,capacity,1,commit,525,8977
lean,grpc,64,capacity,1,commit,548,6
lean,grpc,64,capacity,1,commit,630,5001
lean,grpc,64,capacity,1,commit,653,1
lean,grpc,64,capacity,1,commit,655,9197
lean,grpc,64,capacity,1,commit,735,1779
lean,grpc,64,capacity,1,commit,758,1
lean,grpc,64,capacity,1,commit,786,5040
lean,grpc,64,capacity,1,commit,840,98
lean,grpc,64,capacity,1,commit,917,2635
lean,grpc,64,capacity,1,commit,1048,130
lean,grpc,65536,capacity,1,commit,13,287988
lean,grpc,65536,capacity,1,commit,17,112
lean,grpc,65536,capacity,1,commit,26,12564
lean,grpc,65536,capacity,1,commit,27,12930
lean,grpc,65536,capacity,1,commit,30,26
lean,grpc,65536,capacity,1,commit,33,7615
lean,grpc,65536,capacity,1,commit,36,42
lean,grpc,65536,capacity,1,commit,43,3
lean,grpc,65536,capacity,1,commit,46,1719
lean,grpc,65536,capacity,1,commit,47,24705
lean,grpc,65536,capacity,1,commit,54,8771
lean,grpc,65536,capacity,1,commit,66,7131
lean,grpc,65536,capacity,1,commit,69,3
lean,grpc,65536,capacity,1,commit,74,1301
lean,grpc,65536,capacity,1,commit,79,447
lean,grpc,65536,capacity,1,commit,81,5435
lean,grpc,65536,capacity,1,commit,99,8730
lean,grpc,65536,capacity,1,commit,101,512
lean,grpc,65536,capacity,1,commit,102,1
lean,grpc,65536,capacity,1,commit,108,2372
lean,grpc,65536,capacity,1,commit,112,76
lean,grpc,65536,capacity,1,commit,128,114
lean,grpc,65536,capacity,1,commit,132,2233
lean,grpc,65536,capacity,1,commit,135,597
lean,grpc,65536,capacity,1,commit,145,3
lean,grpc,65536,capacity,1,commit,155,13
lean,grpc,65536,capacity,1,commit,162,38
lean,grpc,65536,capacity,1,commit,165,127
lean,grpc,65536,capacity,1,commit,178,1
lean,grpc,65536,capacity,1,commit,182,1
lean,grpc,65536,capacity,1,commit,189,60
lean,grpc,65536,capacity,1,commit,198,10
lean,grpc,65536,capacity,1,commit,209,3
lean,grpc,65536,capacity,1,commit,216,23
lean,grpc,65536,capacity,1,commit,231,13
lean,grpc,65536,capacity,1,commit,242,1
lean,grpc,65536,capacity,1,commit,264,16
lean,grpc,65536,capacity,1,commit,437,2
lean,grpc,65536,capacity,1,commit,15982,1
lean,grpc,65536,capacity,1,commit,16011,1
lean,grpc,65536,capacity,1,commit,16081,13
lean,grpc,65536,capacity,1,commit,16094,8
lean,grpc,65536,capacity,1,commit,16184,1
lean,grpc,65536,capacity,1,commit,16197,2
lean,grpc,65536,capacity,1,commit,16206,4
lean,grpc,65536,capacity,1,commit,16253,7
lean,grpc,65536,capacity,1,commit,16271,1
lean,grpc,65536,capacity,1,commit,16291,1
lean,grpc,65536,capacity,1,commit,16392,45836
lean,grpc,65536,capacity,1,commit,16393,398271
lean,grpc,65536,capacity,1,commit,16405,40254
lean,grpc,65536,capacity,1,commit,16419,2180
lean,grpc,65536,capacity,1,commit,16425,3396
lean,grpc,65536,capacity,1,commit,16428,17
lean,grpc,65536,capacity,1,commit,16438,250
lean,grpc,65536,capacity,1,commit,16439,39463
lean,grpc,65536,capacity,1,commit,16446,169
lean,grpc,65536,capacity,1,commit,16448,9
lean,grpc,65536,capacity,1,commit,16458,428
lean,grpc,65536,capacity,1,commit,16466,187
lean,grpc,65536,capacity,1,commit,16471,29
lean,grpc,65536,capacity,1,commit,16473,107
lean,grpc,65536,capacity,1,commit,16491,162
lean,grpc,65536,capacity,1,commit,16493,33
lean,grpc,65536,capacity,1,commit,16500,37
lean,grpc,65536,capacity,1,commit,16504,5
lean,grpc,65536,capacity,1,commit,16520,3
lean,grpc,65536,capacity,1,commit,16524,44
lean,grpc,65536,capacity,1,commit,16527,20
lean,grpc,65536,capacity,1,commit,16537,2
lean,grpc,65536,capacity,1,commit,16554,16
lean,grpc,65536,capacity,1,commit,16557,16
lean,grpc,65536,capacity,1,commit,16574,1
lean,grpc,65536,capacity,1,commit,16581,7
lean,grpc,65536,capacity,1,commit,16590,7
lean,grpc,65536,capacity,1,commit,16601,1
lean,grpc,65536,capacity,1,commit,16603,1
lean,grpc,65536,capacity,1,commit,16608,8
lean,grpc,65536,capacity,1,commit,16610,2
lean,grpc,65536,capacity,1,commit,16614,1
lean,grpc,65536,capacity,1,commit,16623,7
lean,grpc,65536,capacity,1,commit,16634,5
lean,grpc,65536,capacity,1,commit,16656,23
lean,grpc,65536,capacity,1,commit,16679,1
lean,grpc,65536,capacity,1,commit,16700,1
lean,grpc,65536,capacity,1,commit,16713,4
lean,grpc,65536,capacity,1,commit,16726,8
lean,grpc,65536,capacity,1,commit,16746,1
lean,grpc,65536,capacity,1,commit,16747,7
lean,grpc,65536,capacity,1,commit,16782,1
lean,grpc,65536,capacity,1,commit,16839,1
lean,grpc,8192,capacity,1,commit,13,28672
lean,grpc,8192,capacity,1,commit,17,135
lean,grpc,8192,capacity,1,commit,36,52
lean,grpc,8192,capacity,1,commit,47,22530
lean,grpc,8192,capacity,1,commit,8215,22529
lean,grpc,8192,capacity,1,commit,8222,22025
lean,grpc,8192,capacity,1,commit,8235,121897
lean,grpc,8192,capacity,1,commit,8258,12
lean,grpc,8192,capacity,1,commit,8262,121412
lean,opaque,1024,capacity,1,commit,128,118
lean,opaque,1024,capacity,1,commit,1040,87845
lean,opaque,1024,capacity,1,commit,1168,120
lean,opaque,1024,capacity,1,commit,2080,107717
lean,opaque,1024,capacity,1,commit,3120,102894
lean,opaque,1024,capacity,1,commit,4160,80760
lean,opaque,1024,capacity,1,commit,5200,60900
lean,opaque,1024,capacity,1,commit,6240,40935
lean,opaque,1024,capacity,1,commit,7280,30177
lean,opaque,1024,capacity,1,commit,8192,238
lean,opaque,64,capacity,1,commit,80,130361
lean,opaque,64,capacity,1,commit,160,107612
lean,opaque,64,capacity,1,commit,240,83372
lean,opaque,64,capacity,1,commit,320,63044
lean,opaque,64,capacity,1,commit,400,52353
lean,opaque,64,capacity,1,commit,480,44539
lean,opaque,64,capacity,1,commit,560,33179
lean,opaque,64,capacity,1,commit,640,21950
