arm,protocol,size,mode,kind,rep,valid,elapsed,cpu_seconds,scheduled,rps,p50_us,p99_us,cpu_us_per_scheduled_rpc,dmesh_worker_drain_calls_total,dmesh_worker_arms_total,dmesh_tx_writer_wakes_total,dmesh_tx_accepted_bytes_total,dmesh_worker_maintenances_total,dmesh_worker_local_completions_total,dmesh_worker_drain_progressed_total,dmesh_worker_drain_idle_total,dmesh_tx_publications_total,dmesh_tx_reserve_attempts_total,dmesh_tx_retries_total,dmesh_tx_budget_wait_total,dmesh_tx_errors_total,dmesh_worker_notification_clears_total,dmesh_worker_cross_out_total,dmesh_worker_cross_in_total,dmesh_worker_drain_pending_total,dmesh_worker_data_progressed_total,dmesh_tx_arena_copy_bytes_total,dmesh_worker_pe_progressed_total
batch,grpc,65536,capacity,clean,2,True,8.527056850027293,64.38,104984,12645.0,5032.0,7549.0,613.2363026746932,2792841.0,110909.0,8.0,13784892199.0,67959.0,1828003.0,2620497.0,154377.0,1424531.0,1424531.0,0.0,9.0,0.0,110909.0,0.0,0.0,17967.0,2620497.0,13784892199.0,1828003.0
batch,grpc,65536,capacity,clean,3,True,8.536839789012447,64.45,105560,12713.0,4994.0,7499.0,610.5532398635847,2771042.0,108175.0,8.0,13861401762.0,68396.0,1836684.0,2601355.0,152351.0,1431197.0,1431197.0,0.0,8.0,0.0,108175.0,0.0,0.0,17336.0,2601355.0,13861401762.0,1836684.0
batch,grpc,65536,capacity,clean,4,True,8.545806860085577,64.33,105016,12659.0,5022.0,7481.0,612.5733221604327,2802223.0,112235.0,8.0,13788831358.0,68085.0,1828611.0,2627989.0,155969.0,1425148.0,1425148.0,0.0,8.0,0.0,112235.0,0.0,0.0,18265.0,2627989.0,13788831358.0,1828611.0
batch,grpc,65536,capacity,clean,5,True,8.541325620026328,64.19,104773,12626.0,5027.0,7576.0,612.6578412377235,2781321.0,111669.0,8.0,13757577289.0,68098.0,1822859.0,2606540.0,156691.0,1420108.0,1420108.0,0.0,8.0,0.0,111669.0,0.0,0.0,18090.0,2606540.0,13757577289.0,1822859.0
batch,grpc,65536,capacity,clean,6,True,8.489052066928707,64.49,104649,12602.0,5054.0,7483.0,616.2505136217259,2796383.0,110040.0,8.0,13740913794.0,67972.0,1823738.0,2627206.0,151102.0,1421390.0,1421390.0,0.0,9.0,0.0,110040.0,0.0,0.0,18075.0,2627206.0,13740913794.0,1823738.0
batch,grpc,65536,capacity,profile,1,True,16.52533964300528,126.34,204072,12515.0,5054.0,8150.0,619.0952212944451,5422161.0,213197.0,7.0,26798071248.0,131887.0,3556316.0,5091962.0,295592.0,2771118.0,2771118.0,0.0,8.0,0.0,213197.0,0.0,0.0,34607.0,5091962.0,26798071248.0,3556316.0
batch,grpc,65536,capacity,stat,1,True,12.536945810890757,95.56,156143,12697.0,4998.0,7633.0,612.0030997226901,4099282.0,156360.0,8.0,20503277618.0,98844.0,2718730.0,3855701.0,218404.0,2118567.0,2118567.0,0.0,8.0,0.0,156360.0,0.0,0.0,25177.0,3855701.0,20503277618.0,2718730.0
batch,grpc,65536,capacity,stat,2,True,12.537689853925258,83.9,135993,11037.0,5029.0,7653.0,616.943519151721,3597249.0,144154.0,8.0,17856966735.0,92948.0,2367858.0,3371250.0,204373.0,1845549.0,1845549.0,0.0,8.0,0.0,144154.0,0.0,0.0,21626.0,3371250.0,17856966735.0,2367858.0
batch,grpc,65536,capacity,stat,3,True,12.526608236017637,83.9,136171,11065.0,5013.0,7692.0,616.1370629576048,3624483.0,153257.0,8.0,17881224532.0,95844.0,2371051.0,3380086.0,210264.0,1847677.0,1847677.0,0.0,9.0,0.0,153257.0,0.0,0.0,34133.0,3380086.0,17881224532.0,2371051.0
batch,grpc,65536,capacity,trace,1,True,12.460686107981019,84.39,96182,7809.0,7276.0,19702.0,877.399097544239,2444703.0,90061.0,8.0,12629049634.0,94137.0,1697912.0,2299605.0,133349.0,1329932.0,1329932.0,0.0,8.0,0.0,90061.0,0.0,0.0,11749.0,2299605.0,12629049634.0,1697912.0
batch,grpc,65536,matched,clean,1,True,8.529202564968728,16.26,16000,1999.0,1499.0,2623.0,1016.2500000000001,1230144.0,191089.0,0.0,2100716857.0,50249.0,289876.0,880869.0,316817.0,200029.0,200029.0,0.0,0.0,0.0,191089.0,0.0,0.0,32458.0,880869.0,2100716857.0,289876.0
batch,grpc,65536,matched,clean,2,True,8.526158578926697,16.17,16000,1999.0,1455.0,2588.0,1010.6250000000001,1232262.0,189638.0,0.0,2100723545.0,47421.0,290453.0,886451.0,312946.0,201090.0,201090.0,0.0,0.0,0.0,189638.0,0.0,0.0,32865.0,886451.0,2100723545.0,290453.0
batch,grpc,65536,matched,clean,3,True,8.516392884077504,16.26,16000,1999.0,1459.0,2557.0,1016.2500000000001,1226790.0,188934.0,0.0,2100717561.0,47535.0,289985.0,882210.0,311969.0,200198.0,200198.0,0.0,0.0,0.0,188934.0,0.0,0.0,32611.0,882210.0,2100717561.0,289985.0
batch,grpc,8192,capacity,clean,1,True,8.51696560299024,54.64,173969,20960.0,3027.0,4777.0,314.0789450994143,1271138.0,128436.0,1.0,2869882625.0,65497.0,404090.0,1044391.0,202105.0,412220.0,412220.0,0.0,2.0,0.0,128436.0,0.0,0.0,24642.0,1044391.0,2869882625.0,404090.0
batch,grpc,8192,capacity,clean,2,True,8.461109719006345,54.13,172277,20774.0,3048.0,4834.0,314.20328888940486,1269818.0,129498.0,1.0,2842018125.0,64763.0,400700.0,1041967.0,202607.0,408732.0,408732.0,0.0,1.0,0.0,129498.0,0.0,0.0,25244.0,1041967.0,2842018125.0,400700.0
batch,grpc,8192,capacity,clean,3,True,8.541200555977412,54.69,174719,21059.0,3009.0,4726.0,313.0169014245732,1277393.0,128871.0,1.0,2882296884.0,65475.0,405941.0,1050032.0,202716.0,414095.0,414095.0,0.0,2.0,0.0,128871.0,0.0,0.0,24645.0,1050032.0,2882296884.0,405941.0
batch,grpc,8192,capacity,trace,1,True,12.471284680999815,81.51,218152,17733.0,3583.0,5462.0,373.6385639370714,1558437.0,155280.0,1.0,3598945932.0,95060.0,503850.0,1280422.0,250277.0,514043.0,514043.0,0.0,1.0,0.0,155280.0,0.0,0.0,27738.0,1280422.0,3598945932.0,503850.0
batch,grpc,8192,matched,clean,1,True,8.455274585983716,44.77,80000,10000.0,1695.0,2319.0,559.625,2954776.0,574664.0,0.0,1319783088.0,65249.0,313228.0,1989105.0,842056.0,317077.0,317077.0,0.0,0.0,0.0,574664.0,0.0,0.0,123615.0,1989105.0,1319783088.0,313228.0
batch,grpc,8192,matched,clean,2,True,8.508928438997827,44.67,80000,10000.0,1704.0,2315.0,558.375,2948951.0,573937.0,0.0,1319783122.0,65575.0,313444.0,1985265.0,838959.0,317315.0,317315.0,0.0,0.0,0.0,573937.0,0.0,0.0,124727.0,1985265.0,1319783122.0,313444.0
batch,grpc,8192,matched,clean,3,True,8.524802320054732,44.63,80000,10000.0,1707.0,2442.0,557.875,2947925.0,573547.0,0.0,1319783173.0,65488.0,312957.0,1983602.0,840135.0,316822.0,316822.0,0.0,0.0,0.0,573547.0,0.0,0.0,124188.0,1983602.0,1319783173.0,312957.0
batch,opaque,1024,capacity,clean,1,True,8.187513893004507,25.84,1005236,125753.0,467.0,1144.0,25.70540649160993,7066120.0,1503078.0,0.0,2090890880.0,65539.0,605183.0,4347888.0,2434404.0,605159.0,605159.0,0.0,0.0,0.0,1503078.0,0.0,0.0,283828.0,4347888.0,2090890880.0,605183.0
batch,opaque,1024,capacity,clean,2,True,8.264258641051129,24.27,949279,118888.0,487.0,1200.0,25.56677225557502,6676519.0,1419681.0,0.0,1974500320.0,65726.0,571800.0,4107347.0,2302569.0,571776.0,571776.0,0.0,0.0,0.0,1419681.0,0.0,0.0,266603.0,4107347.0,1974500320.0,571800.0
batch,opaque,1024,capacity,clean,3,True,8.259228121954948,24.39,957602,120658.0,483.0,1178.0,25.46987161680949,6737922.0,1432089.0,0.0,1991812160.0,65633.0,576574.0,4146944.0,2321084.0,576550.0,576550.0,0.0,0.0,0.0,1432089.0,0.0,0.0,269894.0,4146944.0,1991812160.0,576574.0
batch,opaque,1024,capacity,trace,1,True,12.214115477981977,39.05,1270624,105980.0,565.0,1293.0,30.732931221195255,8835436.0,1887013.0,0.0,2642897920.0,97512.0,766174.0,5408715.0,3085347.0,766150.0,766150.0,0.0,0.0,0.0,1887013.0,0.0,0.0,341374.0,5408715.0,2642897920.0,766174.0
batch,opaque,1024,matched,clean,1,True,8.273674689000472,13.04,160000,20000.0,269.0,491.0,81.5,3681232.0,799813.0,0.0,332800000.0,59635.0,319092.0,2232728.0,1298942.0,319010.0,319010.0,0.0,0.0,0.0,799813.0,0.0,0.0,149562.0,2232728.0,332800000.0,319092.0
batch,opaque,1024,matched,clean,2,True,8.240600142045878,12.93,160000,19999.0,240.0,486.0,80.8125,3678549.0,798816.0,0.0,332800000.0,59771.0,318990.0,2231668.0,1298183.0,318887.0,318887.0,0.0,0.0,0.0,798816.0,0.0,0.0,148698.0,2231668.0,332800000.0,318990.0
