arm,protocol,size,mode,kind,reps,rps,rps_min,rps_max,p50_us,p50_us_min,p50_us_max,p99_us,p99_us_min,p99_us_max,cpu_seconds,cpu_seconds_min,cpu_seconds_max,cpu_us_per_scheduled_rpc,cpu_us_per_scheduled_rpc_min,cpu_us_per_scheduled_rpc_max,dmesh_tx_budget_wait_total,dmesh_tx_budget_wait_total_min,dmesh_tx_budget_wait_total_max,dmesh_tx_writer_wakes_total,dmesh_tx_writer_wakes_total_min,dmesh_tx_writer_wakes_total_max,dmesh_tx_publications_total,dmesh_tx_publications_total_min,dmesh_tx_publications_total_max,dmesh_tx_reserve_attempts_total,dmesh_tx_reserve_attempts_total_min,dmesh_tx_reserve_attempts_total_max,dmesh_tx_arena_copy_bytes_total,dmesh_tx_arena_copy_bytes_total_min,dmesh_tx_arena_copy_bytes_total_max,dmesh_tx_retries_total,dmesh_tx_retries_total_min,dmesh_tx_retries_total_max,dmesh_tx_accepted_bytes_total,dmesh_tx_accepted_bytes_total_min,dmesh_tx_accepted_bytes_total_max,dmesh_worker_drain_calls_total,dmesh_worker_drain_calls_total_min,dmesh_worker_drain_calls_total_max,dmesh_worker_arms_total,dmesh_worker_arms_total_min,dmesh_worker_arms_total_max
batch,grpc,65536,capacity,clean,6,12652.0,12602.0,12713.0,5024.5,4994.0,5054.0,7524.0,7481.0,7614.0,64.41499999999999,64.19,64.55,612.9470719562083,610.5532398635847,616.2505136217259,8.0,8.0,9.0,8.0,8.0,8.0,1424839.5,1420108.0,1431197.0,1424839.5,1420108.0,1431197.0,13786861778.5,13740913794.0,13861401762.0,0.0,0.0,0.0,13786861778.5,13740913794.0,13861401762.0,2792159.5,2771042.0,2802223.0,111289.0,108175.0,112235.0
batch,grpc,65536,capacity,profile,1,12515.0,12515.0,12515.0,5054.0,5054.0,5054.0,8150.0,8150.0,8150.0,126.34,126.34,126.34,619.0952212944451,619.0952212944451,619.0952212944451,8.0,8.0,8.0,7.0,7.0,7.0,2771118.0,2771118.0,2771118.0,2771118.0,2771118.0,2771118.0,26798071248.0,26798071248.0,26798071248.0,0.0,0.0,0.0,26798071248.0,26798071248.0,26798071248.0,5422161.0,5422161.0,5422161.0,213197.0,213197.0,213197.0
batch,grpc,65536,capacity,stat,3,11065.0,11037.0,12697.0,5013.0,4998.0,5029.0,7653.0,7633.0,7692.0,83.9,83.9,95.56,616.1370629576048,612.0030997226901,616.943519151721,8.0,8.0,9.0,8.0,8.0,8.0,1847677.0,1845549.0,2118567.0,1847677.0,1845549.0,2118567.0,17881224532.0,17856966735.0,20503277618.0,0.0,0.0,0.0,17881224532.0,17856966735.0,20503277618.0,3624483.0,3597249.0,4099282.0,153257.0,144154.0,156360.0
batch,grpc,65536,capacity,trace,1,7809.0,7809.0,7809.0,7276.0,7276.0,7276.0,19702.0,19702.0,19702.0,84.39,84.39,84.39,877.399097544239,877.399097544239,877.399097544239,8.0,8.0,8.0,8.0,8.0,8.0,1329932.0,1329932.0,1329932.0,1329932.0,1329932.0,1329932.0,12629049634.0,12629049634.0,12629049634.0,0.0,0.0,0.0,12629049634.0,12629049634.0,12629049634.0,2444703.0,2444703.0,2444703.0,90061.0,90061.0,90061.0
batch,grpc,65536,matched,clean,3,1999.0,1999.0,1999.0,1459.0,1455.0,1499.0,2588.0,2557.0,2623.0,16.26,16.17,16.26,1016.2500000000001,1010.6250000000001,1016.2500000000001,0.0,0.0,0.0,0.0,0.0,0.0,200198.0,200029.0,201090.0,200198.0,200029.0,201090.0,2100717561.0,2100716857.0,2100723545.0,0.0,0.0,0.0,2100717561.0,2100716857.0,2100723545.0,1230144.0,1226790.0,1232262.0,189638.0,188934.0,191089.0
batch,opaque,64,capacity,clean,3,135303.0,134772.0,135901.0,441.0,441.0,443.0,1103.0,1100.0,1104.0,25.62,25.52,25.78,23.70540894143598,23.692040606969286,23.728679394983107,0.0,0.0,0.0,0.0,0.0,0.0,649183.0,646972.0,652610.0,649183.0,646972.0,652610.0,172922560.0,172344800.0,173831840.0,0.0,0.0,0.0,172922560.0,172344800.0,173831840.0,7463512.0,7436999.0,7502303.0,1615141.0,1608746.0,1622885.0
batch,opaque,64,capacity,trace,1,113510.0,113510.0,113510.0,522.0,522.0,522.0,1230.0,1230.0,1230.0,37.97,37.97,37.97,27.891759112752638,27.891759112752638,27.891759112752638,0.0,0.0,0.0,0.0,0.0,0.0,818447.0,818447.0,818447.0,818447.0,818447.0,818447.0,217813440.0,217813440.0,217813440.0,0.0,0.0,0.0,217813440.0,217813440.0,217813440.0,9395374.0,9395374.0,9395374.0,2020281.0,2020281.0,2020281.0
batch,opaque,64,matched,clean,3,19999.0,19999.0,20000.0,263.0,224.0,267.0,490.0,472.0,491.0,12.69,12.69,12.78,79.3125,79.3125,79.875,0.0,0.0,0.0,0.0,0.0,0.0,319046.0,318779.0,319349.0,319046.0,318779.0,319349.0,25600000.0,25600000.0,25600000.0,0.0,0.0,0.0,25600000.0,25600000.0,25600000.0,3687830.0,3681658.0,3690443.0,803238.0,801476.0,805324.0
batch,opaque,1024,capacity,clean,3,120658.0,118888.0,125753.0,483.0,467.0,487.0,1178.0,1144.0,1200.0,24.39,24.27,25.84,25.56677225557502,25.46987161680949,25.70540649160993,0.0,0.0,0.0,0.0,0.0,0.0,576550.0,571776.0,605159.0,576550.0,571776.0,605159.0,1991812160.0,1974500320.0,2090890880.0,0.0,0.0,0.0,1991812160.0,1974500320.0,2090890880.0,6737922.0,6676519.0,7066120.0,1432089.0,1419681.0,1503078.0
batch,opaque,1024,capacity,trace,1,105980.0,105980.0,105980.0,565.0,565.0,565.0,1293.0,1293.0,1293.0,39.05,39.05,39.05,30.732931221195255,30.732931221195255,30.732931221195255,0.0,0.0,0.0,0.0,0.0,0.0,766150.0,766150.0,766150.0,766150.0,766150.0,766150.0,2642897920.0,2642897920.0,2642897920.0,0.0,0.0,0.0,2642897920.0,2642897920.0,2642897920.0,8835436.0,8835436.0,8835436.0,1887013.0,1887013.0,1887013.0
