thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,1421244,3,3,7.9,79
dmesh-w0,1421610,0,0,1.2,12
dmesh-w1,1421612,15,15,0.7,7
dmesh-w2,1421614,10,10,23.8,238
dmesh-w3,1421616,8,8,0.7,7
