EVENT=commit
# event histogram
#
# trigger info: hist:keys=len,common_pid:vals=hitcount:sort=hitcount:size=4096 [paused]
#

{ len:         30, common_pid:    3283705 } hitcount:          3
{ len:        216, common_pid:    3283719 } hitcount:          3
{ len:      16206, common_pid:    3283707 } hitcount:          3
{ len:      16206, common_pid:    3283715 } hitcount:          3
{ len:      16554, common_pid:    3283717 } hitcount:          3
{ len:      16448, common_pid:    3283713 } hitcount:          3
{ len:      16527, common_pid:    3283711 } hitcount:          3
{ len:      16527, common_pid:    3283717 } hitcount:          3
{ len:        155, common_pid:    3283711 } hitcount:          3
{ len:      16493, common_pid:    3283709 } hitcount:          3
{ len:      16448, common_pid:    3283709 } hitcount:          3
{ len:      16500, common_pid:    3283707 } hitcount:          3
{ len:         30, common_pid:    3283717 } hitcount:          3
{ len:        165, common_pid:    3283711 } hitcount:          4
{ len:      16473, common_pid:    3283711 } hitcount:          4
{ len:        165, common_pid:    3283707 } hitcount:          4
{ len:      16471, common_pid:    3283711 } hitcount:          4
{ len:      16471, common_pid:    3283717 } hitcount:          4
{ len:      16428, common_pid:    3283711 } hitcount:          4
{ len:      16713, common_pid:    3283711 } hitcount:          4
{ len:        216, common_pid:    3283711 } hitcount:          4
{ len:      16081, common_pid:    3283711 } hitcount:          4
{ len:         30, common_pid:    3283711 } hitcount:          4
{ len:      16500, common_pid:    3283715 } hitcount:          4
{ len:      16471, common_pid:    3283707 } hitcount:          4
{ len:      16713, common_pid:    3283709 } hitcount:          4
{ len:      16448, common_pid:    3283717 } hitcount:          4
{ len:         36, common_pid:    3283711 } hitcount:          4
{ len:      16554, common_pid:    3283705 } hitcount:          4
{ len:        162, common_pid:    3283705 } hitcount:          4
{ len:      16448, common_pid:    3283707 } hitcount:          4
{ len:      16491, common_pid:    3283711 } hitcount:          4
{ len:      16471, common_pid:    3283709 } hitcount:          4
{ len:      16491, common_pid:    3283717 } hitcount:          4
{ len:         30, common_pid:    3283709 } hitcount:          4
{ len:        162, common_pid:    3283709 } hitcount:          4
{ len:         30, common_pid:    3283715 } hitcount:          4
{ len:        165, common_pid:    3283717 } hitcount:          5
{ len:      16471, common_pid:    3283713 } hitcount:          5
{ len:        189, common_pid:    3283717 } hitcount:          5
{ len:      16094, common_pid:    3283711 } hitcount:          5
{ len:      16493, common_pid:    3283719 } hitcount:          5
{ len:        189, common_pid:    3283709 } hitcount:          5
{ len:      16081, common_pid:    3283709 } hitcount:          5
{ len:      16500, common_pid:    3283709 } hitcount:          5
{ len:      16500, common_pid:    3283705 } hitcount:          5
