threads,conc,rep,mrps,p50_us,p99_us,requests,durs,dpu_core_pct,arm_core_us_per_req
1,128,1,0.161329,731.00,1446.00,2412112,15.000,47.07,2.927
1,128,2,0.157798,742.00,1457.00,2363907,15.000,47.80,3.033
2,64,1,0.181490,713.00,1252.00,2718478,15.000,86.20,4.756
2,64,2,0.177674,723.00,1259.00,2662412,15.000,91.47,5.153
4,32,1,0.179082,639.00,1281.00,2683081,15.000,125.80,7.033
4,32,2,0.178961,640.00,1283.00,2681061,15.000,126.53,7.079
8,16,1,0.160866,681.00,1312.00,2408717,15.000,219.67,13.679
8,16,2,0.160590,682.00,1312.00,2404225,15.000,219.60,13.701
