thread,tid,last_cpu,allowed_cpus,core_pct,tick_delta
dmesh-main,3904986,6,6,8.1,81
dmesh-w0,3905039,15,15,32.2,322
dmesh-w1,3905041,0,0,2.4,24
dmesh-w2,3905043,8,8,2.1,21
dmesh-w3,3905045,10,10,2.1,21
