arm,conc,rep,mrps,p50_us,p99_us,requests,dpu_total_pct,dpu_workers_pct,worker_cv_pct,arm_core_us_per_req
1,1,1,0.005369,146.00,524.00,53464,82.2,81.5,149.1,153.748
1,1,2,0.005477,143.00,521.00,54541,82.5,81.8,148.0,151.262
1,1,3,0.005309,145.00,541.00,52846,82.3,81.8,148.8,155.736
1,32,1,0.043059,695.00,1295.00,430272,48.5,47.8,134.6,11.272
1,32,2,0.043497,654.00,1292.00,434629,46.2,45.4,133.7,10.630
1,32,3,0.043238,686.00,1293.00,432039,47.5,46.9,133.9,10.994
1,128,1,0.168568,733.00,1286.00,1685009,61.7,60.9,142.8,3.662
1,128,2,0.166495,742.00,1268.00,1664308,61.2,60.7,144.1,3.677
1,128,3,0.164681,746.00,1245.00,1646124,63.1,62.3,140.6,3.833
