worker,opened,closed,active,pending,tasks,progress_age_ms,drains,progressed,completion_q,cross_q,deferred_recv,dma_inflight,dma_retries,dma_stalled,stalled_conns,emit_pending,ack_release_q,ack_retry,remote_fin,parked,wake_posted
0,14,14,0,0,0,1136,651926,222425,0,0,0,0,0,0,0,0,0,0,0,0,0
1,16,16,0,0,0,1479,788352,309086,0,0,0,0,0,0,0,0,0,0,0,0,0
2,15,15,0,0,0,1852,647690,220584,0,0,0,0,0,0,0,0,0,0,0,0,0
3,16,16,0,0,0,2216,642844,218683,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17,17,0,0,0,2604,647342,219855,0,0,0,0,0,0,0,0,0,0,0,0,0
5,14,14,0,0,0,2948,650488,220787,0,0,0,0,0,0,0,0,0,0,0,0,0
6,14,14,0,0,0,3281,651032,221581,0,0,0,0,0,0,0,0,0,0,0,0,0
7,14,14,0,0,0,3626,651462,221147,0,0,0,0,0,0,0,0,0,0,0,0,0
