config,frame,kind,offered,achieved,client,server,p99,drop,clean
grpc-dpumesh,64,bound,929,928.0,0.052451,0.058173,497.0,0.0,1
grpc-dpumesh,64,bound,2788,2787.0,0.131521,0.118178,523.0,0.0,1
grpc-dpumesh,64,bound,5576,5576.0,0.262367,0.227769,504.0,0.0,1
grpc-dpumesh,64,bound,9294,9294.0,0.390425,0.351959,388.0,0.0,1
grpc-dpumesh,64,bound,13011,13011.0,0.540646,0.514764,2052.0,0.0,1
grpc-dpumesh,64,bound,15799,15798.0,0.642142,0.610655,5816.0,0.0,1
grpc-dpumesh,64,bound,18587,18587.0,0.724477,0.725437,11811.0,0.0,0
grpc-dpumesh,64,bound,19516,19516.0,0.789064,0.734414,11943.0,0.0,0
grpc-dpumesh,64,common,4647,4647.0,0.212147,0.191029,573.0,0.0,1
grpc-dpumesh,64,common,13940,13939.0,0.578933,0.595074,7306.0,0.0,1
grpc-dpumesh,64,common,16728,16727.0,0.638103,0.608312,2844.0,0.0,1
grpc-dpumesh,1024,bound,879,878.0,0.048061,0.0471,497.0,0.0,1
grpc-dpumesh,1024,bound,2636,2636.0,0.117221,0.119142,535.0,0.0,1
grpc-dpumesh,1024,bound,5271,5271.0,0.25627,0.21721,525.0,0.0,1
grpc-dpumesh,1024,bound,8785,8785.0,0.387403,0.341398,399.0,0.0,1
grpc-dpumesh,1024,bound,12299,12298.0,0.525116,0.508796,4539.0,0.0,1
grpc-dpumesh,1024,bound,14935,14935.0,0.630785,0.620725,9933.0,0.0,0
grpc-dpumesh,1024,bound,17570,17569.0,0.715965,0.690078,10126.0,0.0,0
grpc-dpumesh,1024,bound,18449,18449.0,0.732447,0.715445,12220.0,0.0,0
grpc-dpumesh,1024,common,4393,4393.0,0.203377,0.183232,561.0,0.0,1
grpc-dpumesh,1024,common,13178,13177.0,0.560012,0.541034,6625.0,0.0,1
grpc-dpumesh,1024,common,15813,15812.0,0.637894,0.62142,2481.0,0.0,1
grpc-dpumesh,8192,bound,1021,1021.0,0.054776,0.049971,491.0,0.0,1
grpc-dpumesh,8192,bound,3062,3062.0,0.137283,0.131523,538.0,0.0,1
grpc-dpumesh,8192,bound,6124,6124.0,0.304012,0.273323,468.0,0.0,1
grpc-dpumesh,8192,bound,10207,10206.0,0.475877,0.4355,478.0,0.0,1
grpc-dpumesh,8192,bound,14290,14290.0,0.658642,0.68537,10977.0,0.0,0
grpc-dpumesh,8192,bound,17352,17351.0,0.816883,0.747688,10538.0,0.0,0
grpc-dpumesh,8192,bound,20414,20369.0,0.942416,0.775013,29205.0,0.0,0
grpc-dpumesh,8192,bound,21435,20389.0,0.961635,0.773529,484155.0,0.0,0
grpc-dpumesh,8192,common,5104,5104.0,0.252386,0.218798,539.0,0.0,1
grpc-dpumesh,8192,common,15311,15311.0,0.696365,0.695158,11602.0,0.0,0
grpc-dpumesh,8192,common,18373,18373.0,0.872482,0.758244,7290.0,0.0,0
grpc-envoy-permissive,64,bound,2287,2287.0,0.165922,0.145782,557.0,0.0,1
grpc-envoy-permissive,64,bound,6860,6860.0,0.441821,0.394005,573.0,0.0,1
grpc-envoy-permissive,64,bound,13720,13720.0,0.828217,0.8196,427.0,0.0,1
grpc-envoy-permissive,64,bound,22867,22867.0,0.959822,0.956949,1514.0,0.0,1
grpc-envoy-permissive,64,bound,32013,32013.0,0.960704,0.947281,2046.0,0.0,1
grpc-envoy-permissive,64,bound,38873,38874.0,0.960432,0.929759,3292.0,0.0,1
grpc-envoy-permissive,64,bound,45733,45740.0,0.960597,0.897388,7458.0,0.0,1
grpc-envoy-permissive,64,bound,48020,48015.0,0.958611,0.862081,25509.0,0.0,0
grpc-envoy-permissive,64,common,4647,4647.0,0.318865,0.276134,512.0,0.0,1
grpc-envoy-permissive,64,common,9294,9294.0,0.611444,0.537718,711.0,0.0,1
grpc-envoy-permissive,64,common,13940,13940.0,0.887468,0.813023,486.0,0.0,1
grpc-envoy-permissive,64,common,16728,16728.0,0.955608,0.938242,685.0,0.0,1
grpc-envoy-permissive,1024,bound,2244,2243.0,0.14854,0.147581,516.0,0.0,1
grpc-envoy-permissive,1024,bound,6732,6732.0,0.449701,0.398882,465.0,0.0,1
grpc-envoy-permissive,1024,bound,13465,13465.0,0.834615,0.801997,421.0,0.0,1
grpc-envoy-permissive,1024,bound,22442,22442.0,0.9613,0.955549,1578.0,0.0,1
grpc-envoy-permissive,1024,bound,31418,31417.0,0.960152,0.949611,2344.0,0.0,1
grpc-envoy-permissive,1024,bound,38151,38151.0,0.960484,0.936207,3735.0,0.0,1
grpc-envoy-permissive,1024,bound,44883,44884.0,0.960039,0.88214,10124.0,0.0,0
grpc-envoy-permissive,1024,bound,47127,47023.0,0.962363,0.81392,46987.0,0.0,0
grpc-envoy-permissive,1024,common,4393,4393.0,0.311687,0.259263,485.0,0.0,1
grpc-envoy-permissive,1024,common,8785,8784.0,0.586961,0.507173,597.0,0.0,1
grpc-envoy-permissive,1024,common,13178,13177.0,0.857423,0.782004,442.0,0.0,1
grpc-envoy-permissive,1024,common,15813,15812.0,0.960274,0.933447,826.0,0.0,1
grpc-envoy-permissive,8192,bound,1694,1694.0,0.140805,0.123564,516.0,0.0,1
grpc-envoy-permissive,8192,bound,5081,5081.0,0.399061,0.362608,233.0,0.0,1
grpc-envoy-permissive,8192,bound,10163,10163.0,0.769967,0.715312,379.0,0.0,1
grpc-envoy-permissive,8192,bound,16938,16937.0,0.960718,0.962636,1409.0,0.0,1
grpc-envoy-permissive,8192,bound,23713,23714.0,0.962652,0.945393,2136.0,0.0,1
grpc-envoy-permissive,8192,bound,28795,28795.0,0.960649,0.955856,3160.0,0.0,1
grpc-envoy-permissive,8192,bound,33876,33884.0,0.958859,0.896227,12935.0,0.0,0
