run_id,stage,sequence,config,frame_bytes,offered_rps,duration_s,achieved_rps,p50_us,p99_us,scheduled,admission_drops,pending,fail,overflow,reorder,achieved_ratio,schedule_ratio,admission_drop_ratio,client_busy_cores,server_busy_cores,host_busy_cores,host_core_budget,dpu_arm_cores,tx_grow_waits,clean,reason,raw_result
scout-64-grpc-tcp-refine3-v1,refine,3,grpc-tcp,64,33876,10,33853.000,19783.00,46938.00,338727,0,0,0,0,0,0.999321,0.999903,0.000000,0.992777,0.990567,1.983344,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-refine3-v1.result.attempt1.txt
scout-64-grpc-tcp-refine3-v2,refine,3,grpc-tcp,64,33876,10,33852.000,21201.00,49547.00,338644,0,0,0,0,0,0.999292,0.999658,0.000000,0.993147,0.991219,1.984366,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-refine3-v2.result.attempt1.txt
scout-64-grpc-tcp-refine4-v1,refine,4,grpc-tcp,64,34517,10,29989.000,218766.00,1399040.10,343794,0,0,0,39938,0,0.868818,0.996014,0.000000,0.995676,0.996772,1.992448,2,NA,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-refine4-v1.result.attempt1.txt
scout-64-grpc-tcp-refine4-v2,refine,4,grpc-tcp,64,34517,10,30861.000,339397.00,1147086.94,343551,0,0,0,4065,0,0.894081,0.995310,0.000000,0.996416,0.996084,1.992500,2,NA,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-tcp-refine4-v2.result.attempt1.txt
scout-64-grpc-dpumesh-pilot1-v1,pilot,1,grpc-dpumesh,64,5000,2,4997.000,243.00,423.00,10000,0,0,0,0,0,0.999400,1.000000,0.000000,0.184501,0.173429,0.357930,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot1-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot2-v1,pilot,2,grpc-dpumesh,64,6750,2,6747.000,242.00,396.00,13500,0,0,0,0,0,0.999556,1.000000,0.000000,0.241727,0.217643,0.459370,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot2-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot3-v1,pilot,3,grpc-dpumesh,64,9113,2,9111.000,227.00,333.00,18226,0,0,0,0,0,0.999781,1.000000,0.000000,0.302079,0.268350,0.570429,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot3-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot4-v1,pilot,4,grpc-dpumesh,64,12303,2,12301.000,242.00,265.00,24606,0,0,0,0,0,0.999837,1.000000,0.000000,0.392951,0.334313,0.727264,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot4-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot5-v1,pilot,5,grpc-dpumesh,64,16609,2,16606.000,213.00,7074.00,33218,0,0,0,0,0,0.999819,1.000000,0.000000,0.547769,0.480828,1.028597,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot5-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot6-v1,pilot,6,grpc-dpumesh,64,22422,2,22420.000,245.00,15581.00,44843,0,0,0,0,0,0.999911,0.999978,0.000000,0.661848,0.653267,1.315115,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot6-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot7-v1,pilot,7,grpc-dpumesh,64,30270,2,30078.000,24855.00,222893.00,60529,0,0,0,0,0,0.993657,0.999818,0.000000,0.929486,0.927262,1.856748,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot7-v1.result.attempt1.txt
scout-64-grpc-dpumesh-pilot8-v1,pilot,8,grpc-dpumesh,64,40865,2,26299.000,229356.00,777397.00,73172,0,0,0,0,0,0.643558,0.895289,0.000000,0.983117,0.951912,1.935029,2,NA,0,0,achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-pilot8-v1.result.attempt1.txt
scout-64-grpc-dpumesh-validate8-v1,validate,8,grpc-dpumesh,64,40865,10,25299.000,3970372.37,3970372.37,383800,0,0,0,166952,0,0.619087,0.939190,0.000000,0.996244,0.996245,1.992489,2,1.406268,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-validate8-v1.result.attempt1.txt
scout-64-grpc-dpumesh-validate8-v2,validate,8,grpc-dpumesh,64,40865,10,22576.000,4913759.72,4913759.72,391002,0,0,0,156866,0,0.552453,0.956814,0.000000,0.996677,0.996975,1.993652,2,1.386376,0,0,overflow+achieved+scheduler,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-validate8-v2.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack7-v1,backtrack,7,grpc-dpumesh,64,30270,10,30240.000,1972.00,70780.00,302699,0,0,0,0,0,0.999009,0.999997,0.000000,0.932306,0.900420,1.832726,2,2.465449,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-backtrack7-v1.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack7-v2,backtrack,7,grpc-dpumesh,64,30270,10,28933.000,115476.00,623596.00,301449,0,0,0,0,0,0.955831,0.995867,0.000000,0.946423,0.957483,1.903906,2,2.167210,0,0,achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-backtrack7-v2.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack7-v3,backtrack,7,grpc-dpumesh,64,30270,10,27944.000,332240.00,686567.00,302567,0,0,0,0,0,0.923158,0.999561,0.000000,0.935571,0.964819,1.900390,2,1.568271,0,0,achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-backtrack7-v3.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack6-v1,backtrack,6,grpc-dpumesh,64,22422,10,22422.000,245.00,12799.00,224219,0,0,0,0,0,1.000000,0.999996,0.000000,0.670241,0.661681,1.331922,2,1.932682,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-backtrack6-v1.result.attempt1.txt
scout-64-grpc-dpumesh-backtrack6-v2,backtrack,6,grpc-dpumesh,64,22422,10,22422.000,244.00,11770.00,224219,0,0,0,0,0,1.000000,0.999996,0.000000,0.665707,0.659524,1.325231,2,1.939169,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-backtrack6-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine1-v1,refine,1,grpc-dpumesh,64,26052,10,26052.000,248.00,301543.00,260520,0,0,0,0,0,1.000000,1.000000,0.000000,0.817553,0.794152,1.611705,2,2.476948,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine1-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine1-v2,refine,1,grpc-dpumesh,64,26052,10,26016.000,248.00,215833.00,260520,0,0,0,0,0,0.998618,1.000000,0.000000,0.832338,0.785830,1.618168,2,2.213521,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine1-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine2-v1,refine,2,grpc-dpumesh,64,28082,10,28101.000,250.00,27614.00,280819,0,0,0,0,0,1.000677,0.999996,0.000000,0.852206,0.830867,1.683073,2,2.359084,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine2-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine2-v2,refine,2,grpc-dpumesh,64,28082,10,28055.000,292.00,389719.00,280819,0,0,0,0,0,0.999039,0.999996,0.000000,0.880744,0.858124,1.738868,2,2.289551,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine2-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine3-v1,refine,3,grpc-dpumesh,64,29155,10,28979.000,3259.00,463112.00,291549,0,0,0,0,0,0.993963,0.999997,0.000000,0.932689,0.884569,1.817258,2,2.270028,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine3-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine3-v2,refine,3,grpc-dpumesh,64,29155,10,27181.000,80573.00,1820969.04,291422,0,0,0,8562,0,0.932293,0.999561,0.000000,0.935111,0.888648,1.823759,2,1.732239,0,0,overflow+achieved,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine3-v2.result.attempt1.txt
scout-64-grpc-dpumesh-refine3-v3,refine,3,grpc-dpumesh,64,29155,10,29173.000,944.00,314568.00,291550,0,0,0,0,0,1.000617,1.000000,0.000000,0.918935,0.883893,1.802828,2,2.228694,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine3-v3.result.attempt1.txt
scout-64-grpc-dpumesh-refine4-v1,refine,4,grpc-dpumesh,64,29707,10,29672.000,2767.00,381380.00,297069,0,0,0,0,0,0.998822,0.999997,0.000000,0.938517,0.882564,1.821081,2,2.215282,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine4-v1.result.attempt1.txt
scout-64-grpc-dpumesh-refine4-v2,refine,4,grpc-dpumesh,64,29707,10,29713.000,1703.00,405834.00,297069,0,0,0,0,0,1.000202,0.999997,0.000000,0.949023,0.885287,1.834310,2,2.284836,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-dpumesh-refine4-v2.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot1-v1,pilot,1,grpc-envoy-permissive,64,5000,2,4998.000,217.00,636.00,10000,0,0,0,0,0,0.999600,1.000000,0.000000,0.329413,0.515684,0.845097,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot1-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot2-v1,pilot,2,grpc-envoy-permissive,64,6750,2,6747.000,179.00,471.00,13500,0,0,0,0,0,0.999556,1.000000,0.000000,0.451728,0.403091,0.854819,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot2-v1.result.attempt1.txt
scout-64-grpc-envoy-permissive-pilot3-v1,pilot,3,grpc-envoy-permissive,64,9113,2,9110.000,223.00,717.00,18226,0,0,0,0,0,0.999671,1.000000,0.000000,0.603834,0.586451,1.190285,2,NA,0,1,clean,/home/jukebox/DPUmesh/integrations/linkerd/bench/report/data/linkerd-20260810/open/raw/scout-64-grpc-envoy-permissive-pilot3-v1.result.attempt1.txt
