frame_bytes,config,rate_index,offered_rps,source,min_knee_rps,config_knee_rps
1024,grpc-linkerd,1,663,span,13262,13262
1024,grpc-linkerd,2,1989,span,13262,13262
1024,grpc-linkerd,3,3316,common,13262,13262
1024,grpc-linkerd,4,3979,span,13262,13262
1024,grpc-linkerd,5,6631,common+span,13262,13262
1024,grpc-linkerd,6,9283,span,13262,13262
1024,grpc-linkerd,7,9947,common,13262,13262
1024,grpc-linkerd,8,11273,knee,13262,13262
1024,grpc-linkerd,9,11936,common,13262,13262
1024,grpc-linkerd,10,12599,knee,13262,13262
1024,grpc-linkerd,11,13262,knee,13262,13262
1024,grpc-linkerd,12,13925,knee,13262,13262
1024,grpc-linkerd,13,15251,knee,13262,13262
1024,grpc-linkerd,14,17241,knee,13262,13262
1024,grpc-linkerd-opaque,1,2202,span,13262,44049
1024,grpc-linkerd-opaque,2,3316,common,13262,44049
1024,grpc-linkerd-opaque,3,6607,span,13262,44049
1024,grpc-linkerd-opaque,4,6631,common,13262,44049
1024,grpc-linkerd-opaque,5,9947,common,13262,44049
1024,grpc-linkerd-opaque,6,11936,common,13262,44049
1024,grpc-linkerd-opaque,7,13215,span,13262,44049
1024,grpc-linkerd-opaque,8,22025,span,13262,44049
1024,grpc-linkerd-opaque,9,30834,span,13262,44049
1024,grpc-linkerd-opaque,10,37442,knee,13262,44049
1024,grpc-linkerd-opaque,11,41847,knee,13262,44049
1024,grpc-linkerd-opaque,12,44049,knee,13262,44049
1024,grpc-linkerd-opaque,13,46251,knee,13262,44049
1024,grpc-linkerd-opaque,14,50656,knee,13262,44049
1024,grpc-linkerd-opaque,15,57264,knee,13262,44049
1024,grpc-tcp,1,1514,span,13262,30270
1024,grpc-tcp,2,3316,common,13262,30270
1024,grpc-tcp,3,4541,span,13262,30270
1024,grpc-tcp,4,6631,common,13262,30270
1024,grpc-tcp,5,9081,span,13262,30270
1024,grpc-tcp,6,9947,common,13262,30270
1024,grpc-tcp,7,11936,common,13262,30270
1024,grpc-tcp,8,15135,span,13262,30270
1024,grpc-tcp,9,21189,span,13262,30270
1024,grpc-tcp,10,25730,knee,13262,30270
1024,grpc-tcp,11,28757,knee,13262,30270
1024,grpc-tcp,12,30270,knee,13262,30270
1024,grpc-tcp,13,31784,knee,13262,30270
1024,grpc-tcp,14,34811,knee,13262,30270
1024,grpc-tcp,15,39351,knee,13262,30270
1024,grpc-dpumesh,1,1378,span,13262,27560
1024,grpc-dpumesh,2,3316,common,13262,27560
1024,grpc-dpumesh,3,4134,span,13262,27560
1024,grpc-dpumesh,4,6631,common,13262,27560
1024,grpc-dpumesh,5,8268,span,13262,27560
1024,grpc-dpumesh,6,9947,common,13262,27560
1024,grpc-dpumesh,7,11936,common,13262,27560
1024,grpc-dpumesh,8,13780,span,13262,27560
1024,grpc-dpumesh,9,19292,span,13262,27560
1024,grpc-dpumesh,10,23426,knee,13262,27560
1024,grpc-dpumesh,11,26182,knee,13262,27560
1024,grpc-dpumesh,12,27560,knee,13262,27560
1024,grpc-dpumesh,13,28938,knee,13262,27560
1024,grpc-dpumesh,14,31694,knee,13262,27560
1024,grpc-dpumesh,15,35828,knee,13262,27560
8192,grpc-envoy-permissive,1,1759,span,10790,35171
8192,grpc-envoy-permissive,2,2698,common,10790,35171
8192,grpc-envoy-permissive,3,5276,span,10790,35171
8192,grpc-envoy-permissive,4,5395,common,10790,35171
8192,grpc-envoy-permissive,5,8093,common,10790,35171
8192,grpc-envoy-permissive,6,9711,common,10790,35171
8192,grpc-envoy-permissive,7,10551,span,10790,35171
8192,grpc-envoy-permissive,8,17586,span,10790,35171
8192,grpc-envoy-permissive,9,24620,span,10790,35171
8192,grpc-envoy-permissive,10,29895,knee,10790,35171
8192,grpc-envoy-permissive,11,33412,knee,10790,35171
8192,grpc-envoy-permissive,12,35171,knee,10790,35171
8192,grpc-envoy-permissive,13,36930,knee,10790,35171
8192,grpc-envoy-permissive,14,40447,knee,10790,35171
8192,grpc-envoy-permissive,15,45722,knee,10790,35171
8192,grpc-envoy-strict,1,1431,span,10790,28613
8192,grpc-envoy-strict,2,2698,common,10790,28613
8192,grpc-envoy-strict,3,4292,span,10790,28613
8192,grpc-envoy-strict,4,5395,common,10790,28613
8192,grpc-envoy-strict,5,8093,common,10790,28613
8192,grpc-envoy-strict,6,8584,span,10790,28613
8192,grpc-envoy-strict,7,9711,common,10790,28613
8192,grpc-envoy-strict,8,14307,span,10790,28613
8192,grpc-envoy-strict,9,20029,span,10790,28613
8192,grpc-envoy-strict,10,24321,knee,10790,28613
8192,grpc-envoy-strict,11,27182,knee,10790,28613
8192,grpc-envoy-strict,12,28613,knee,10790,28613
8192,grpc-envoy-strict,13,30044,knee,10790,28613
8192,grpc-envoy-strict,14,32905,knee,10790,28613
8192,grpc-envoy-strict,15,37197,knee,10790,28613
8192,grpc-linkerd,1,540,span,10790,10790
8192,grpc-linkerd,2,1619,span,10790,10790
8192,grpc-linkerd,3,2698,common,10790,10790
8192,grpc-linkerd,4,3237,span,10790,10790
8192,grpc-linkerd,5,5395,common+span,10790,10790
8192,grpc-linkerd,6,7553,span,10790,10790
8192,grpc-linkerd,7,8093,common,10790,10790
8192,grpc-linkerd,8,9172,knee,10790,10790
8192,grpc-linkerd,9,9711,common,10790,10790
8192,grpc-linkerd,10,10251,knee,10790,10790
8192,grpc-linkerd,11,10790,knee,10790,10790
8192,grpc-linkerd,12,11330,knee,10790,10790
8192,grpc-linkerd,13,12408,knee,10790,10790
8192,grpc-linkerd,14,14027,knee,10790,10790
8192,grpc-linkerd-opaque,1,1278,span,10790,25568
8192,grpc-linkerd-opaque,2,2698,common,10790,25568
8192,grpc-linkerd-opaque,3,3835,span,10790,25568
8192,grpc-linkerd-opaque,4,5395,common,10790,25568
8192,grpc-linkerd-opaque,5,7670,span,10790,25568
8192,grpc-linkerd-opaque,6,8093,common,10790,25568
8192,grpc-linkerd-opaque,7,9711,common,10790,25568
8192,grpc-linkerd-opaque,8,12784,span,10790,25568
8192,grpc-linkerd-opaque,9,17898,span,10790,25568
8192,grpc-linkerd-opaque,10,21733,knee,10790,25568
8192,grpc-linkerd-opaque,11,24290,knee,10790,25568
8192,grpc-linkerd-opaque,12,25568,knee,10790,25568
8192,grpc-linkerd-opaque,13,26846,knee,10790,25568
8192,grpc-linkerd-opaque,14,29403,knee,10790,25568
8192,grpc-linkerd-opaque,15,33238,knee,10790,25568
8192,grpc-tcp,1,1303,span,10790,26052
8192,grpc-tcp,2,2698,common,10790,26052
8192,grpc-tcp,3,3908,span,10790,26052
8192,grpc-tcp,4,5395,common,10790,26052
8192,grpc-tcp,5,7816,span,10790,26052
8192,grpc-tcp,6,8093,common,10790,26052
8192,grpc-tcp,7,9711,common,10790,26052
8192,grpc-tcp,8,13026,span,10790,26052
8192,grpc-tcp,9,18236,span,10790,26052
8192,grpc-tcp,10,22144,knee,10790,26052
8192,grpc-tcp,11,24749,knee,10790,26052
8192,grpc-tcp,12,26052,knee,10790,26052
8192,grpc-tcp,13,27355,knee,10790,26052
8192,grpc-tcp,14,29960,knee,10790,26052
8192,grpc-tcp,15,33868,knee,10790,26052
8192,grpc-dpumesh,1,1100,span,10790,22005
8192,grpc-dpumesh,2,2698,common,10790,22005
8192,grpc-dpumesh,3,3301,span,10790,22005
8192,grpc-dpumesh,4,5395,common,10790,22005
8192,grpc-dpumesh,5,6602,span,10790,22005
8192,grpc-dpumesh,6,8093,common,10790,22005
8192,grpc-dpumesh,7,9711,common,10790,22005
8192,grpc-dpumesh,8,11003,span,10790,22005
8192,grpc-dpumesh,9,15403,span,10790,22005
8192,grpc-dpumesh,10,18704,knee,10790,22005
8192,grpc-dpumesh,11,20905,knee,10790,22005
8192,grpc-dpumesh,12,22005,knee,10790,22005
8192,grpc-dpumesh,13,23105,knee,10790,22005
8192,grpc-dpumesh,14,25306,knee,10790,22005
8192,grpc-dpumesh,15,28607,knee,10790,22005
