worker,opened,closed,active,pending,tasks,progress_age_ms,drains,progressed,completion_q,cross_q,deferred_recv,dma_inflight,dma_retries,dma_stalled,stalled_conns,emit_pending,ack_release_q,ack_retry,remote_fin,parked,wake_posted
0,0,0,0,0,0,80985,79099,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,69046,442662,233109,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,69386,440957,232116,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,69750,434002,228650,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,0,70135,438033,230504,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,82703,80881,3,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,83041,81219,3,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,83359,81503,3,0,0,0,0,0,0,0,0,0,0,0,0,0
